id,question_id,created,updated,content,creator,is_spam,num_helpful,num_unhelpful
1775838,1543992,2025-10-30T13:06:53.234821Z,2025-10-30T13:07:58.679801Z,"<p>Do you mean that you want to clear local messages on your Android phone? If so, the following steps might be helpful: </p><p>Tap the three-horizontal-bar icon on the top left corner. &gt; Tap the account you want to configure. &gt; Tap ""Manage folders"". &gt; Tap the folder you want to configure. &gt; Tap the three-vertical-dot icon on the top right corner. &gt; Tap ""Clear local messages"". &gt; Tap ""Clear messages"". </p>",Yu5tiqX9og,False,1,0
1775880,1544009,2025-10-30T16:12:28.627028Z,2025-10-30T16:12:28.627035Z,"<p>Hi Stefob </p><p>Yes, you can set the folders you wish to sync (refresh). </p><p>1. Press the top left menu button 2. Select account 3. Select manage folders (bottom left) 4. Click the desired folder 5. Toggle ""Sync"" ON </p><p>The sync period is defined and applied at the account level. Go to: Settings &gt; account &gt; fetching mail: Folder Poll Frequency (default = 15 minutes) </p><p>You also have the option to enable push per folder for immediately delivery. </p><p>Guide:  <a href=""https://support.mozilla.org/en-US/kb/configure-push-email-thunderbird-android"" rel=""nofollow"">https://support.mozilla.org/en-US/kb/configure-push-email-thunderbird-android</a> </p>",platform34,False,1,0
1775994,1544066,2025-10-31T00:36:42.625381Z,2025-10-31T00:36:42.625415Z,"<p>Thunderbird for Android doesn't currently have an in-app feature to add new imap folders. </p><p>This needs to be done via your email providers web portal or an alternative client that supports this. Once the folder is created, refresh the apps folder list from: manage folders &gt; three dot menu &gt; refresh folders. </p><p>Members in the community have requested this feature. Consider up-voting their suggestion on the Mozilla Connect link below. </p><p><a href=""https://connect.mozilla.org/t5/ideas/add-the-ability-to-create-imap-folders/idi-p/72777"" rel=""nofollow"">https://connect.mozilla.org/t5/ideas/add-the-ability-to-create-imap-folders/idi-p/72777</a> </p>",platform34,False,0,0
1777143,1544009,2025-11-05T14:59:51.423875Z,2025-11-05T15:00:30.705905Z,"<em><p>Platform34 <a href=""#answer-1775880"" rel=""nofollow"">said</a></p></em> <blockquote>...  Yes, you can set the folders you wish to sync (refresh).  1. Press the top left menu button 2. Select account 3. Select manage folders (bottom left) 4. Click the desired folder 5. Toggle ""Sync"" ON  ... </blockquote> <p><br> Hello  I just wanna say THANK YOU It worked Perfectly. </p><p>Now all by Sub-Inboxes send me notification Been using it for days now successfully </p><p>THANKS AGAIN </p>",stefob,False,0,0
