id,created,updated,locale,product,title,is_solved,solution,solved_by,is_spam,last_answer,answers,topic,tags,creator,content,involved,is_archived,is_locked,is_taken,metadata,num_answers,num_votes_past_week,num_votes,taken_until,taken_by,updated_by,operating_system,thunderbird_version
1531253,2025-08-24T02:41:55.130619Z,2025-10-20T14:57:59.659193Z,en-US,thunderbird-android,Send email,False,,,False,1773458,1759461;1773458;,send-and-receive-email,android;needsinfo;thunderbird-android;send-and-receive-email;,norton.7501,<p>Email not sending </p>,norton.7501;shopov.bogomil;wsmwk;,True,False,False,";useragent:Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36;os:Android;kb_visits_prior:[""/en-US/kb/getting-started-thunderbird-android"", ""/en-US/kb/thunderbird-android-8-faq""]",2,0,0,,,,Android,
1531347,2025-08-24T17:30:25.781252Z,2025-10-15T07:38:36.425693Z,en-US,thunderbird-android,Thunderbird for Android and spam,True,1759458,shopov.bogomil,False,1772217,1759458;1772019;1772217;,junk-mail-and-spam,android;thunderbird-android;junk-mail-and-spam;,djroufa,<p>How do i teach TB for Android to recognize spam in my incoming Gmail? </p>,djroufa;shopov.bogomil;gawd21;wsmwk;,True,False,False,";solver_id:6975135;useragent:Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Mobile Safari/537.36;os:Android;kb_visits_prior:[""/en-US/kb/thunderbird-android-8-faq"", ""/en-US/kb/new-thunderbird-android-version-8""]",3,0,2,,,,Android,
1531358,2025-08-24T19:09:24.404777Z,2025-08-25T07:27:22.330308Z,en-US,thunderbird-android,Mentès,False,,,False,1759460,1759460;,customization,customization;thunderbird-android;,Zola,"<p>Üdvözlöm.le töltöttem a tündèrbird alkalmazást. Hogyan tudom beállitani, hogy az emaileket a memória kártyára mentse? </p>",Zola;shopov.bogomil;,True,False,False,";useragent:Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Mobile Safari/537.36;os:Android 10",1,0,0,,,,Android 10,
