id,created,updated,locale,product,title,is_solved,solution,solved_by,is_spam,last_answer,answers,topic,tags,creator,content,involved,is_archived,is_locked,is_taken,metadata,num_answers,num_votes_past_week,num_votes,taken_until,taken_by,updated_by,operating_system,thunderbird_version
1534748,2025-09-10T01:49:29.605088Z,2025-09-15T12:18:41.067766Z,en-US,thunderbird-android,re: rearranging the order of mail accounts,False,,,False,1764480,1764480;,account-management,android;thunderbird-android;account-management;,delusional.panda,"<p>First off, I love Thunderbird for my PC; however, Thunderbird for Android (on my tablet) not so much. Are there any plans to create a way for Thunderbird for Android to rearrange the order of the mail accounts, like the PC version does? </p>",delusional.panda;Yu5tiqX9og;,True,False,False,;os:Android;useragent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:142.0) Gecko/20100101 Firefox/142.0,1,0,0,,,,Android,
1534840,2025-09-10T13:54:37.914593Z,2025-10-20T14:55:25.966176Z,en-US,thunderbird-android,Thunderbird 10.1 on Android,False,,,False,1773454,1773454;,attachments,android;thunderbird-android;attachments;,avb1,<p>Incoming emails with pdf attachment some are indicated with  attachment but can not be opend and other emails working with pdf attachments working fine </p>,avb1;wsmwk;,True,False,False,;useragent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:142.0) Gecko/20100101 Firefox/142.0;os:android,1,0,0,,,,android,
1534916,2025-09-10T21:24:18.805375Z,2025-09-20T02:06:12.918528Z,en-US,thunderbird-android,Forgot Password,False,,,False,1765753,1764483;1765753;,reset-passwords,android;thunderbird-android;reset-passwords;,suzana.darosa,<p>Hi  I forgot my password and cant find The password recovery options. </p><p>Can someone assist pls? Thanks Suzana </p>,suzana.darosa;Yu5tiqX9og;wsmwk;,True,False,False,";useragent:Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Mobile Safari/537.36;os:Android",2,0,1,,,,Android,
