id,question_id,created,updated,content,creator,is_spam,num_helpful,num_unhelpful
1691038,1476546,2024-11-30T11:23:19.932510Z,2024-11-30T11:23:19.932516Z,"<p>Hello At present, Thunderbird for Android does not include message filtering capabilities. The team is actively refining the app, and new features may be introduced based on community feedback. Stay updated through Thunderbird's official announcements or forums for developments regarding this functionality. </p>",iubfun340,False,5,2
1695002,1476546,2024-12-16T15:40:04.026708Z,2024-12-16T15:40:04.026717Z,"<p>The ability to create block lists is sorely needed. The mobile version doesn't need desktop parity, but blocklists are a must. </p>",megadirk,False,0,0
1698666,1476546,2024-12-30T03:10:24.591993Z,2024-12-30T03:10:24.592001Z,"<p>Ideas like this are best posted at <a href=""https://connect.mozilla.org/t5/ideas/idb-p/ideas/label-name/thunderbird%20android"" rel=""nofollow"">https://connect.mozilla.org/t5/ideas/idb-p/ideas/label-name/thunderbird%20android</a> where they can be voted and are more likely to get attention. </p>",wsmwk,False,1,0
