id,created,updated,locale,product,title,is_solved,solution,solved_by,is_spam,last_answer,answers,topic,tags,creator,content,involved,is_archived,is_locked,is_taken,metadata,num_answers,num_votes_past_week,num_votes,taken_until,taken_by,updated_by,operating_system,thunderbird_version
1476546,2024-11-30T00:53:53.730823Z,2025-01-07T20:02:31.495067Z,en-US,thunderbird-android,Will you be adding Mesage Filters to the android version?,False,,,False,1698666,1691038;1695002;1698666;,customization,thunderbird;email-and-messaging;,wpthomson,<p>Will you be adding Mesage Filters to the android version? </p>,wpthomson;iubfun340;megadirk;wsmwk;,True,False,False,;useragent:Mozilla/5.0 (X11; Linux x86_64; rv:133.0) Gecko/20100101 Firefox/133.0,3,0,8,,,wsmwk,,
1476562,2024-11-30T06:12:09.446421Z,2024-12-01T08:04:55.893095Z,en-US,thunderbird-android,Possible to rename accounts from same domain?,False,,,False,,,settings,settings;thunderbird-android;,kontakt437,"<p>Hello, Is it possible to give the accounts (see screenshot below) different names or rename them? <img src=""https://assets-prod.sumo.prod.webservices.mozgcp.net/media/uploads/images/2024-11-29-22-11-16-6323a6.png""> </p><p>I have many emails on one domain and Thunderbird names them all the same </p><p>Best regards </p>",kontakt437;,True,False,False,";useragent:Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",0,0,0,,,Noah_SUMO,,
1476563,2024-11-30T07:25:24.198666Z,2024-11-30T07:25:24.198673Z,en-US,thunderbird-android,folder sync using thunderbird for android,False,,,False,,,account-management,thunderbird;email-and-messaging;,gwenole.lecornec,"<p>Hello, Very exited to see thunderbird coming to android but I cannot sync all my mails. </p><p>I am using posteo and I configure several filters from the posteo website itself so my computer and my phone sort the mail the same way.  I don't have any trouble with thunderbird on my computer but thunderbird on my phone only download the mail which are not filters when I ask to check for new messages. I have to go to every folders which are present on my phone and drag down to sync each folder one by one. </p><p>Do you have a solution to receive all mails at the same time ? </p><p>Thank you, Have a good day. </p><p>Gwenole </p>",gwenole.lecornec;,True,False,False,;useragent:Mozilla/5.0 (Android 14; Mobile; rv:133.0) Gecko/133.0 Firefox/133.0,0,0,0,,,,,
1476579,2024-11-30T11:45:16.280893Z,2024-11-30T11:45:16.280899Z,en-US,thunderbird-android,Estensioni Thunderbird,False,,,False,,,settings,settings;thunderbird-android;,digitalinknet,"<p>Buongiorno intendo sapere se il Thunderbird da PC ,cosi come configurato con il calendario la posta la chat etcc, sia possibile scaricarlo su mobile ed ottenere le stesse configurazioni(calendario chat ,posta etcc.) Grazie </p>",digitalinknet;,True,False,False,";useragent:Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",0,0,0,,,,,
1476606,2024-11-30T14:50:51.179239Z,2024-11-30T14:50:51.179245Z,en-US,thunderbird-android,Mail sending issue through mobile app,False,,,False,,,email-and-messaging,email-and-messaging;thunderbird-android;,vspunn,"<p>I installed the app, and configured the account for pop3 settings. Mails are coming, but when sent, it is not reaching destination. The settings are correct, as same setting works in aqua mail on same mobile (installed for testing purpose). </p>",vspunn;,True,False,False,";useragent:Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36;os:Android 12",0,0,0,,,,Android 12,
