id,created,updated,locale,product,title,is_solved,solution,solved_by,is_spam,last_answer,answers,topic,tags,creator,content,involved,is_archived,is_locked,is_taken,metadata,num_answers,num_votes_past_week,num_votes,taken_until,taken_by,updated_by,operating_system,thunderbird_version,firefox_version
1595858,2026-07-31T05:12:50.960279Z,2026-07-31T05:12:50.960287Z,en-US,thunderbird-android,How do I move multiple/selected emails to another folder?,False,,,False,,,email-and-messaging,android;email-and-messaging;thunderbird-android;,kuz99,<p>It is very painful to move each email message at a time to another folder. There is a requirement for selecting multiple messages and moving them to a folder. Want to know if this feature is available and if not would like to request it. </p>,kuz99;,False,False,False,";useragent:Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Mobile Safari/537.36;tb_version:21.0;os:Android;sanitized_product_version:;kb_visits_prior:[""/en-US/kb/getting-started-thunderbird-pro""]",0,0,0,,,,Android,21.0,
1595859,2026-07-31T05:15:36.054709Z,2026-07-31T05:15:36.054715Z,en-US,thunderbird-android,Marking favorite folders,False,,,False,,,customization,android;customization;thunderbird-android;,kuz99,"<p>When moving emails to folders, it is very difficult to find a folder in a long list of folders. Is there a way to mark frequently used folders as favorites so they appear at the top of the folder list? </p>",kuz99;,False,False,False,";useragent:Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Mobile Safari/537.36;tb_version:21.0;os:Android;sanitized_product_version:;kb_visits_prior:[""/en-US/kb/getting-started-thunderbird-pro""]",0,0,0,,,,Android,21.0,
1595873,2026-07-31T07:19:10.255615Z,2026-07-31T07:19:10.255625Z,en-US,thunderbird-android,notifications need to be Remover manually,False,,,False,,,email-and-messaging,android;email-and-messaging;thunderbird-android;,stenr1,"<p>Mail notifications remains on the home screen and need to be removed manually. I had expected them to be removed after reading the mail or marking it as read. A notification summary with the number of received mails instead of a notification for each mail, as an option, would have been nice. /Sten </p>",stenr1;,False,False,False,";useragent:Mozilla/5.0 (Android 14; Mobile; rv:153.0) Gecko/153.0 Firefox/153.0;tb_version:21.0;os:Android;sanitized_product_version:;kb_visits_prior:[""/en-US/kb/thunderbird-android-import"", ""/en-US/kb/thunderbird-android-8-faq""]",0,0,0,,,,Android,21.0,
1595878,2026-07-31T08:33:46.748445Z,2026-07-31T08:33:46.748455Z,en-US,thunderbird-android,Empty Trash and Empty Spam no longer work since the v21.0 update,False,,,False,,,junk-mail-and-spam,thunderbird-android;junk-mail-and-spam;,clearvoic,"<p>Bonjour à tous, </p><p>I recently updated Tbird Mobile to v21.0. I'm on the latest version of Android released for the Samsung Galaxy Z Flip 6. The ""Empty Trash"" and ""Empty Spam"" commands no longer work. I have to go to the desktop version, empty those folders there, then go back to the mobile version and resync in those two folders to get the trashed files to ""go away"". This never happened before the v21.0 update. </p><p>Is there something I need to do/change, or is this a bug? </p><p>Merci d'avance, John </p>",clearvoic;,False,False,False,";useragent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36;tb_version:21.0;os:Android v16;sanitized_product_version:",0,0,0,,,,Android v16,21.0,
